timestamp,datetime,open,high,low,close,volume,volume_ccy
1644336000000,2022-02-08 16:00:00,3076.39,3084.45,3025.33,3051.43,3990757,399075.7
1644350400000,2022-02-08 20:00:00,3051.43,3138.15,3047,3115.07,2985129,298512.9
1644364800000,2022-02-09 00:00:00,3115.07,3131.06,3061.12,3075.65,2534717,253471.7
1644379200000,2022-02-09 04:00:00,3075.65,3116.27,3054.64,3106.65,2381522,238152.2
1644393600000,2022-02-09 08:00:00,3106.65,3157.14,3068.02,3152.09,3332761,333276.1
1644408000000,2022-02-09 12:00:00,3151.9,3219.56,3136.78,3179.17,5128954,512895.4
1644422400000,2022-02-09 16:00:00,3179.18,3259.1,3162.96,3246.46,3540818,354081.8
1644436800000,2022-02-09 20:00:00,3246.47,3272.6,3229.75,3243.6,2008725,200872.5
1644451200000,2022-02-10 00:00:00,3243.55,3248.64,3170,3178.58,2438067,243806.7
1644465600000,2022-02-10 04:00:00,3178.57,3196,3157.22,3189.5,2126179,212617.9
1644480000000,2022-02-10 08:00:00,3189.51,3288,3183.6,3247.16,4215792,421579.2
1644494400000,2022-02-10 12:00:00,3247.16,3269.38,3084.07,3209.65,10595321,1059532.1
1644508800000,2022-02-10 16:00:00,3209.65,3250,3114,3120.25,4756987,475698.7
1644523200000,2022-02-10 20:00:00,3120.25,3139.77,3055.26,3071.72,2600046,260004.6
1644537600000,2022-02-11 00:00:00,3071.72,3096.78,3000.3,3081.68,3780969,378096.9
1644552000000,2022-02-11 04:00:00,3081.68,3105.54,3040.1,3098.51,2250181,225018.1
1644566400000,2022-02-11 08:00:00,3098.5,3116.32,3061.5,3087.85,3397643,339764.3
1644580800000,2022-02-11 12:00:00,3088.15,3139,3078.92,3102.28,5554501,555450.1
1644595200000,2022-02-11 16:00:00,3102.27,3112.58,2967.04,2993.89,6217748,621774.8
1644609600000,2022-02-11 20:00:00,2993.92,3002.45,2865,2928.65,5236031,523603.1
1644624000000,2022-02-12 00:00:00,2928.64,2959.24,2910.28,2933.84,2157869,215786.9
1644638400000,2022-02-12 04:00:00,2933.89,2948.81,2882.5,2918.99,2427692,242769.2
1644652800000,2022-02-12 08:00:00,2919.04,2943.65,2870.81,2932.12,2682655,268265.5
1644667200000,2022-02-12 12:00:00,2932.11,2938.76,2858.29,2881.94,3603425,360342.5
1644681600000,2022-02-12 16:00:00,2881.71,2978.6,2864.18,2952.58,3207871,320787.1
1644696000000,2022-02-12 20:00:00,2952.68,2984.52,2862.75,2918.95,2387698,238769.8
1644710400000,2022-02-13 00:00:00,2918.95,2947.48,2896.47,2918.1,1680175,168017.5
1644724800000,2022-02-13 04:00:00,2918.1,2928.38,2896.97,2923.15,1421818,142181.8
1644739200000,2022-02-13 08:00:00,2923.15,2943.28,2905,2930.58,1692684,169268.4
1644753600000,2022-02-13 12:00:00,2930.59,2953,2908.56,2918.62,2703840,270384
1644768000000,2022-02-13 16:00:00,2918.66,2921.46,2832,2857.09,3715000,371500
1644782400000,2022-02-13 20:00:00,2857.09,2911.18,2848.73,2872.28,1855298,185529.8
1644796800000,2022-02-14 00:00:00,2872.29,2894,2822,2864.68,2997216,299721.6
1644811200000,2022-02-14 04:00:00,2864.68,2883.89,2843.81,2881.68,2076188,207618.8
1644825600000,2022-02-14 08:00:00,2881.66,2888,2846,2874.53,2839783,283978.3
1644840000000,2022-02-14 12:00:00,2874.54,2967.51,2850.55,2936.68,5799858,579985.8
1644854400000,2022-02-14 16:00:00,2936.69,2963.7,2856.95,2879.52,4524007,452400.7
1644868800000,2022-02-14 20:00:00,2879.51,2949,2866.45,2929.85,2146517,214651.7
1644883200000,2022-02-15 00:00:00,2929.85,3039.53,2912.55,3025,3111624,311162.4
1644897600000,2022-02-15 04:00:00,3024.99,3066.56,3008,3048.92,2233626,223362.6
1644912000000,2022-02-15 08:00:00,3048.92,3119.64,3040,3094.44,4300594,430059.4
1644926400000,2022-02-15 12:00:00,3094.36,3150,3086.49,3122.46,3497485,349748.5
1644940800000,2022-02-15 16:00:00,3122.46,3143.72,3089,3110.45,1932274,193227.4
1644955200000,2022-02-15 20:00:00,3110.44,3199.79,3092.31,3186.23,1836133,183613.3
1644969600000,2022-02-16 00:00:00,3186.24,3187,3133.01,3141.55,2225981,222598.1
1644984000000,2022-02-16 04:00:00,3141.51,3153.5,3104.87,3148.76,1928147,192814.7
1644998400000,2022-02-16 08:00:00,3148.75,3163,3112.59,3136.01,1762929,176292.9
1645012800000,2022-02-16 12:00:00,3136.01,3144.92,3050.26,3065.62,4054354,405435.4
1645027200000,2022-02-16 16:00:00,3065.62,3187.34,3043,3168.46,3480110,348011
1645041600000,2022-02-16 20:00:00,3168.46,3178.58,3116.71,3122.39,1389328,138932.8
1645056000000,2022-02-17 00:00:00,3122.39,3159.64,3082.87,3084.11,2250932,225093.2
1645070400000,2022-02-17 04:00:00,3084.14,3113.04,3050,3108.24,3326115,332611.5
1645084800000,2022-02-17 08:00:00,3108.24,3145,3027.41,3065.01,4352613,435261.3
1645099200000,2022-02-17 12:00:00,3065,3088,2960,2988.49,5850168,585016.8
1645113600000,2022-02-17 16:00:00,2988.48,3004.86,2878.96,2908.91,4571353,457135.3
1645128000000,2022-02-17 20:00:00,2909.1,2914.78,2851.28,2891.74,2610998,261099.8
1645142400000,2022-02-18 00:00:00,2891.82,2919.18,2861,2906.98,2357263,235726.3
1645156800000,2022-02-18 04:00:00,2906.96,2916,2875.8,2904.17,1759042,175904.2
1645171200000,2022-02-18 08:00:00,2904.52,2943.77,2872,2879.49,2962917,296291.7
1645185600000,2022-02-18 12:00:00,2879.5,2908.59,2777,2800.91,6279859,627985.9
1645200000000,2022-02-18 16:00:00,2800.72,2825.61,2751,2797,4469701,446970.1
1645214400000,2022-02-18 20:00:00,2797.69,2807.17,2753.2,2779,1288274,128827.4
1645228800000,2022-02-19 00:00:00,2779.19,2831,2766.45,2805.75,1448660,144866
1645243200000,2022-02-19 04:00:00,2805.99,2825.98,2796,2811.5,1193217,119321.7
1645257600000,2022-02-19 08:00:00,2811.86,2819.2,2705.27,2722.23,3538931,353893.1
1645272000000,2022-02-19 12:00:00,2722.23,2753.27,2688.48,2745.07,3322247,332224.7
1645286400000,2022-02-19 16:00:00,2745.24,2795.43,2737,2744.14,2758715,275871.5
1645300800000,2022-02-19 20:00:00,2744.14,2768.41,2726.01,2762.99,817452,81745.2
1645315200000,2022-02-20 00:00:00,2762.99,2764.39,2697.03,2713.43,2174740,217474
1645329600000,2022-02-20 04:00:00,2713.43,2718.64,2615.55,2653.87,4845679,484567.9
1645344000000,2022-02-20 08:00:00,2653.76,2653.77,2596,2642.29,3906790,390679
1645358400000,2022-02-20 12:00:00,2642.29,2664,2597.4,2651.9,3401523,340152.3
1645372800000,2022-02-20 16:00:00,2651.89,2675,2630.32,2649.24,2046875,204687.5
1645387200000,2022-02-20 20:00:00,2649.05,2664.87,2571,2622.06,2892404,289240.4
1645401600000,2022-02-21 00:00:00,2622.06,2739.98,2604.59,2710.68,3602332,360233.2
1645416000000,2022-02-21 04:00:00,2710.84,2756.06,2710.41,2747.13,2355858,235585.8
1645430400000,2022-02-21 08:00:00,2747,2760,2604.94,2627.15,4915169,491516.9
1645444800000,2022-02-21 12:00:00,2627.14,2750,2581.36,2723.95,9071697,907169.7
1645459200000,2022-02-21 16:00:00,2723.94,2744.36,2606.39,2652.7,6636947,663694.7
1645473600000,2022-02-21 20:00:00,2652.7,2677.1,2557.23,2567.53,4921826,492182.6
1645488000000,2022-02-22 00:00:00,2568.02,2623.11,2507.11,2519.67,4646608,464660.8
1645502400000,2022-02-22 04:00:00,2519.68,2547.99,2496,2515.49,4064972,406497.2
1645516800000,2022-02-22 08:00:00,2515.5,2603.94,2514.22,2587.99,5037388,503738.8
1645531200000,2022-02-22 12:00:00,2587.98,2666,2564.98,2624,7078821,707882.1
1645545600000,2022-02-22 16:00:00,2623.86,2642.76,2577,2633.26,4934796,493479.6
1645560000000,2022-02-22 20:00:00,2633.38,2656.25,2591,2637.5,2493682,249368.2
1645574400000,2022-02-23 00:00:00,2637.41,2654,2596.66,2624.43,2831116,283111.6
1645588800000,2022-02-23 04:00:00,2624.43,2698,2619.85,2694.56,3547852,354785.2
1645603200000,2022-02-23 08:00:00,2694.56,2739.65,2681.21,2719.76,4756845,475684.5
1645617600000,2022-02-23 12:00:00,2719.77,2753.36,2684,2689.45,4829358,482935.8
1645632000000,2022-02-23 16:00:00,2689.22,2731.56,2618.54,2633.58,4906236,490623.6
1645646400000,2022-02-23 20:00:00,2633.58,2641.15,2574.05,2579.39,3041294,304129.4
1645660800000,2022-02-24 00:00:00,2579.4,2593.54,2385.66,2396.54,8862361,886236.1
1645675200000,2022-02-24 04:00:00,2396.68,2410.6,2301,2371.13,11563854,1156385.4
1645689600000,2022-02-24 08:00:00,2371.22,2427.81,2331.59,2396.08,7220849,722084.9
1645704000000,2022-02-24 12:00:00,2396.08,2476.5,2349.19,2454.98,9286084,928608.4
1645718400000,2022-02-24 16:00:00,2454.99,2600,2428.36,2596.01,8002182,800218.2
1645732800000,2022-02-24 20:00:00,2596,2745,2544.47,2596.56,7014100,701410
1645747200000,2022-02-25 00:00:00,2596.56,2648.97,2582.08,2636.48,3586941,358694.1
1645761600000,2022-02-25 04:00:00,2636.49,2646,2585.59,2614.21,3101620,310162
1645776000000,2022-02-25 08:00:00,2614.27,2640.91,2572.44,2632.76,3899671,389967.1
1645790400000,2022-02-25 12:00:00,2632.76,2743.66,2632.76,2733.25,7684583,768458.3
1645804800000,2022-02-25 16:00:00,2733.24,2746.91,2666.1,2679.04,3423487,342348.7
1645819200000,2022-02-25 20:00:00,2679.04,2835.67,2668.09,2766.81,4371600,437160
1645833600000,2022-02-26 00:00:00,2766.9,2883.17,2759.92,2793.8,3869770,386977
1645848000000,2022-02-26 04:00:00,2793.8,2828,2758,2793.45,2270673,227067.3
1645862400000,2022-02-26 08:00:00,2793.4,2820,2726.04,2752.04,3775527,377552.7
1645876800000,2022-02-26 12:00:00,2752,2816,2742.2,2785.63,3038434,303843.4
1645891200000,2022-02-26 16:00:00,2785.64,2835,2762.38,2809.21,2161907,216190.7
1645905600000,2022-02-26 20:00:00,2809.21,2855,2764,2779.19,1785387,178538.7
1645920000000,2022-02-27 00:00:00,2779.2,2789.99,2678,2715.54,3901259,390125.9
1645934400000,2022-02-27 04:00:00,2715.54,2744.46,2697,2735.61,2045411,204541.1
1645948800000,2022-02-27 08:00:00,2735.2,2833,2721.32,2821.31,3752738,375273.8
1645963200000,2022-02-27 12:00:00,2821.31,2837.87,2706,2809.34,6298436,629843.6
1645977600000,2022-02-27 16:00:00,2809.34,2811,2591.88,2605.92,4705089,470508.9
1645992000000,2022-02-27 20:00:00,2605.92,2658,2556,2616.64,5733134,573313.4
1646006400000,2022-02-28 00:00:00,2616.9,2679.75,2573,2607.08,4884795,488479.5
1646020800000,2022-02-28 04:00:00,2607.31,2653,2568,2635.37,5025479,502547.9
1646035200000,2022-02-28 08:00:00,2635.38,2658,2610.35,2639.79,2999071,299907.1
1646049600000,2022-02-28 12:00:00,2639.8,2828,2607,2815.36,9775301,977530.1
1646064000000,2022-02-28 16:00:00,2815.36,2832,2787.3,2808.59,4433585,443358.5
1646078400000,2022-02-28 20:00:00,2808.59,2957.98,2795.17,2921.57,4276945,427694.5
1646092800000,2022-03-01 00:00:00,2921.57,2975,2890.5,2912.77,3635929,363592.9
1646107200000,2022-03-01 04:00:00,2912.77,2937.08,2880.5,2920.98,2497694,249769.4
1646121600000,2022-03-01 08:00:00,2921.56,2934.6,2853,2902.76,4310602,431060.2
1646136000000,2022-03-01 12:00:00,2902.76,3036.84,2897.89,2949.77,9706476,970647.6
1646150400000,2022-03-01 16:00:00,2949.76,2976.27,2896.16,2946.24,4286046,428604.6
1646164800000,2022-03-01 20:00:00,2946.44,2980.34,2937.13,2976.45,1729991,172999.1
1646179200000,2022-03-02 00:00:00,2976.46,3030.01,2913.37,3017.38,3925116,392511.6
1646193600000,2022-03-02 04:00:00,3017.45,3046,2953.35,2969.3,4234252,423425.2
1646208000000,2022-03-02 08:00:00,2969.31,3028,2949,3004.61,4571090,457109
1646222400000,2022-03-02 12:00:00,3004.61,3036,2925.04,2952.61,9904167,990416.7
1646236800000,2022-03-02 16:00:00,2952.6,2982.69,2913.69,2932.92,3047182,304718.2
1646251200000,2022-03-02 20:00:00,2932.92,2988.75,2928.82,2947.23,1392111,139211.1
1646265600000,2022-03-03 00:00:00,2947.61,2970.55,2886.26,2895.51,3017085,301708.5
1646280000000,2022-03-03 04:00:00,2895.5,2920.61,2871,2907.39,3024662,302466.2
1646294400000,2022-03-03 08:00:00,2907.21,2935.76,2878,2912.31,3135427,313542.7
1646308800000,2022-03-03 12:00:00,2912.3,2934.69,2815.02,2828.64,6057405,605740.5
1646323200000,2022-03-03 16:00:00,2828.64,2839.73,2781.87,2817.37,4323625,432362.5
1646337600000,2022-03-03 20:00:00,2817.65,2849.83,2791.03,2834,2321371,232137.1
1646352000000,2022-03-04 00:00:00,2834.01,2836.55,2688.14,2725,5502851,550285.1
1646366400000,2022-03-04 04:00:00,2725.01,2733.84,2710.2,2731.49,2200990,220099
1646380800000,2022-03-04 08:00:00,2731.44,2759.06,2703.45,2743.54,4318460,431846
1646395200000,2022-03-04 12:00:00,2743.54,2756,2658.78,2672.61,7212729,721272.9
1646409600000,2022-03-04 16:00:00,2672.48,2697.68,2608.87,2617.1,4667167,466716.7
1646424000000,2022-03-04 20:00:00,2617.16,2630.88,2572.01,2621.29,3159284,315928.4
1646438400000,2022-03-05 00:00:00,2621.29,2629.25,2589.22,2624.12,2658715,265871.5
1646452800000,2022-03-05 04:00:00,2624.15,2643,2610,2637.23,1636720,163672
1646467200000,2022-03-05 08:00:00,2637.23,2657.96,2630.33,2648.48,2373990,237399
1646481600000,2022-03-05 12:00:00,2648.37,2672.89,2627.48,2642.83,2371642,237164.2
1646496000000,2022-03-05 16:00:00,2642.83,2687.8,2639.54,2669.46,2204243,220424.3
1646510400000,2022-03-05 20:00:00,2669.47,2682.4,2650.76,2664.3,887736,88773.6
1646524800000,2022-03-06 00:00:00,2664.02,2676.53,2633,2638.86,1438886,143888.6
1646539200000,2022-03-06 04:00:00,2638.85,2660,2615.47,2645.48,2726358,272635.8
1646553600000,2022-03-06 08:00:00,2645.48,2648.85,2587.8,2608.47,3524288,352428.8
1646568000000,2022-03-06 12:00:00,2608.48,2649.33,2604.3,2626.62,2689037,268903.7
1646582400000,2022-03-06 16:00:00,2627.15,2657.22,2603,2606.27,2267407,226740.7
1646596800000,2022-03-06 20:00:00,2606.29,2644.77,2531.35,2549.93,2739737,273973.7
1646611200000,2022-03-07 00:00:00,2549.93,2558.48,2507,2525.46,4249773,424977.3
1646625600000,2022-03-07 04:00:00,2525.19,2542.51,2513.27,2521.2,2101288,210128.8
1646640000000,2022-03-07 08:00:00,2521.2,2547,2485.46,2537.43,3690572,369057.2
1646654400000,2022-03-07 12:00:00,2537.43,2650,2537.43,2617.63,8159047,815904.7
1646668800000,2022-03-07 16:00:00,2617.63,2642.63,2446.48,2459.43,7654066,765406.6
1646683200000,2022-03-07 20:00:00,2459.42,2528.83,2444.32,2491.88,4300257,430025.7
1646697600000,2022-03-08 00:00:00,2491.71,2573.53,2480.72,2549.39,3889875,388987.5
1646712000000,2022-03-08 04:00:00,2549.38,2565.51,2495.44,2536.28,4215754,421575.4
1646726400000,2022-03-08 08:00:00,2536.4,2609.79,2526.12,2587.62,5506273,550627.3
1646740800000,2022-03-08 12:00:00,2587.62,2611.08,2531,2559.16,7090896,709089.6
1646755200000,2022-03-08 16:00:00,2559.28,2624,2523.95,2579.88,6962198,696219.8
1646769600000,2022-03-08 20:00:00,2579.87,2589.53,2548.53,2576.27,1425414,142541.4
1646784000000,2022-03-09 00:00:00,2576.96,2719.3,2567.09,2698.86,5369438,536943.8
1646798400000,2022-03-09 04:00:00,2699,2750,2698.89,2744.36,4309409,430940.9
1646812800000,2022-03-09 08:00:00,2744.35,2775,2723.88,2746.02,4441946,444194.6
1646827200000,2022-03-09 12:00:00,2746,2771,2712,2757.92,5375945,537594.5
1646841600000,2022-03-09 16:00:00,2757.92,2761.2,2680.34,2714.38,3329435,332943.5
1646856000000,2022-03-09 20:00:00,2714.37,2736.56,2680.21,2727.49,1943341,194334.1
1646870400000,2022-03-10 00:00:00,2727.66,2734.2,2651.94,2658.37,4031381,403138.1
1646884800000,2022-03-10 04:00:00,2658.37,2664.68,2570,2591.99,5945489,594548.9
1646899200000,2022-03-10 08:00:00,2592,2610,2574.19,2593.91,2868643,286864.3
1646913600000,2022-03-10 12:00:00,2593.91,2648,2551,2597.56,7120401,712040.1
1646928000000,2022-03-10 16:00:00,2597.55,2617.42,2583.36,2612.83,2639401,263940.1
1646942400000,2022-03-10 20:00:00,2612.82,2620.98,2590.8,2606.31,1294733,129473.3
1646956800000,2022-03-11 00:00:00,2606.42,2609.66,2520.87,2551,3811844,381184.4
1646971200000,2022-03-11 04:00:00,2551,2617.29,2532.67,2609.03,3746337,374633.7
1646985600000,2022-03-11 08:00:00,2609.02,2672.06,2576.5,2652.88,5515448,551544.8
1647000000000,2022-03-11 12:00:00,2652.86,2677.71,2567.57,2581.07,6603562,660356.2
1647014400000,2022-03-11 16:00:00,2581.07,2581.88,2543.92,2557.61,2946551,294655.1
1647028800000,2022-03-11 20:00:00,2557.39,2588,2526.42,2556.59,2101109,210110.9
1647043200000,2022-03-12 00:00:00,2556.53,2598,2553,2584.09,1833160,183316
1647057600000,2022-03-12 04:00:00,2584.09,2600,2568.06,2588.97,1844585,184458.5
1647072000000,2022-03-12 08:00:00,2588.98,2591.9,2572.63,2579.11,1766545,176654.5
1647086400000,2022-03-12 12:00:00,2579.11,2596.71,2561.02,2584.58,2192432,219243.2
1647100800000,2022-03-12 16:00:00,2584.58,2617.16,2575.03,2577.84,2204653,220465.3
1647115200000,2022-03-12 20:00:00,2577.84,2593.28,2563.07,2568.54,894197,89419.7
1647129600000,2022-03-13 00:00:00,2568.55,2603.34,2557.54,2592.2,1699638,169963.8
1647144000000,2022-03-13 04:00:00,2592.3,2597.82,2580.74,2581.82,945722,94572.2
1647158400000,2022-03-13 08:00:00,2581.82,2596,2564.82,2574.68,1943175,194317.5
1647172800000,2022-03-13 12:00:00,2574.67,2590,2532.51,2578.86,3710838,371083.8
1647187200000,2022-03-13 16:00:00,2578.75,2586.75,2561.34,2562.55,1274803,127480.3
1647201600000,2022-03-13 20:00:00,2562.39,2574.26,2490.27,2515.4,3275868,327586.8
1647216000000,2022-03-14 00:00:00,2515.36,2545,2499.33,2533.98,2446587,244658.7
1647230400000,2022-03-14 04:00:00,2533.98,2606,2532.75,2587.04,4194717,419471.7
1647244800000,2022-03-14 08:00:00,2587.05,2610.83,2576.35,2580.39,2435889,243588.9
1647259200000,2022-03-14 12:00:00,2580.04,2593,2555,2573.6,3641995,364199.5
1647273600000,2022-03-14 16:00:00,2573.6,2582.9,2513.19,2535.85,2878883,287888.3
1647288000000,2022-03-14 20:00:00,2535.85,2597.37,2522.22,2589.48,2515112,251511.2
1647302400000,2022-03-15 00:00:00,2589.67,2603.41,2536.7,2544.04,3784731,378473.1
1647316800000,2022-03-15 04:00:00,2543.93,2562.8,2505,2531.82,2448601,244860.1
1647331200000,2022-03-15 08:00:00,2531.99,2544.5,2510.68,2534.52,2247489,224748.9
1647345600000,2022-03-15 12:00:00,2534.52,2592,2520,2572.33,4237232,423723.2
1647360000000,2022-03-15 16:00:00,2572.29,2662.44,2567.68,2659.29,4620476,462047.6
1647374400000,2022-03-15 20:00:00,2659.31,2669,2606.24,2618.5,2152205,215220.5
1647388800000,2022-03-16 00:00:00,2618.5,2735.86,2603,2620.94,7504829,750482.9
1647403200000,2022-03-16 04:00:00,2620.66,2648.79,2605,2645.66,2094937,209493.7
1647417600000,2022-03-16 08:00:00,2645.66,2705.06,2643.86,2687.57,3802010,380201
1647432000000,2022-03-16 12:00:00,2687.58,2724.36,2661.53,2703.21,4156277,415627.7
1647446400000,2022-03-16 16:00:00,2703.21,2758.33,2634,2754,8026498,802649.8
1647460800000,2022-03-16 20:00:00,2754.09,2789.88,2740.48,2773.75,2657678,265767.8
1647475200000,2022-03-17 00:00:00,2773.75,2788.21,2752.28,2767.01,2800538,280053.8
1647489600000,2022-03-17 04:00:00,2767,2775.17,2746.67,2756,1842098,184209.8
1647504000000,2022-03-17 08:00:00,2756.16,2779.16,2750.47,2775.38,2035631,203563.1
1647518400000,2022-03-17 12:00:00,2775.38,2837.88,2771.49,2802.15,5142280,514228
1647532800000,2022-03-17 16:00:00,2802.15,2836.4,2775,2828.45,2518810,251881
1647547200000,2022-03-17 20:00:00,2828.44,2828.69,2799.43,2811.7,1031999,103199.9
1647561600000,2022-03-18 00:00:00,2811.7,2813.44,2766.29,2776.47,2569878,256987.8
1647576000000,2022-03-18 04:00:00,2776.46,2808.56,2771,2793.34,2080668,208066.8
1647590400000,2022-03-18 08:00:00,2793.33,2816,2780,2796.29,3394700,339470
1647604800000,2022-03-18 12:00:00,2796.49,2902.34,2788.5,2895.61,7487169,748716.9
1647619200000,2022-03-18 16:00:00,2895.6,2970.24,2880.72,2966.56,5334291,533429.1
1647633600000,2022-03-18 20:00:00,2966.77,2985.59,2931.26,2938.54,2039291,203929.1
1647648000000,2022-03-19 00:00:00,2938.54,2980,2930.03,2948.38,2007382,200738.2
1647662400000,2022-03-19 04:00:00,2948.5,2956.43,2921.22,2925.38,1692944,169294.4
1647676800000,2022-03-19 08:00:00,2925.37,2958.09,2923.23,2946.29,1760316,176031.6
1647691200000,2022-03-19 12:00:00,2946.28,2977.57,2937.41,2966.11,2873801,287380.1
1647705600000,2022-03-19 16:00:00,2966.08,2988,2944.7,2950.63,2245775,224577.5
1647720000000,2022-03-19 20:00:00,2950.63,2967.49,2891.87,2951.05,2322651,232265.1
1647734400000,2022-03-20 00:00:00,2951.04,2964.73,2907,2932.55,2196087,219608.7
1647748800000,2022-03-20 04:00:00,2932.55,2935,2915,2925.9,1179084,117908.4
1647763200000,2022-03-20 08:00:00,2925.91,2931.05,2875.04,2887,2598331,259833.1
1647777600000,2022-03-20 12:00:00,2887,2899.84,2847.42,2855.46,3811448,381144.8
1647792000000,2022-03-20 16:00:00,2855.46,2879.47,2817.79,2874.69,3311363,331136.3
1647806400000,2022-03-20 20:00:00,2874.69,2913.43,2849.86,2860.62,2352570,235257
1647820800000,2022-03-21 00:00:00,2860.63,2877.49,2831.52,2843.83,2677105,267710.5
1647835200000,2022-03-21 04:00:00,2843.83,2895.92,2835.21,2889.98,2367267,236726.7
1647849600000,2022-03-21 08:00:00,2889.34,2923.79,2873,2906,2842278,284227.8
1647864000000,2022-03-21 12:00:00,2906.01,2956,2886.5,2954.29,5460544,546054.4
1647878400000,2022-03-21 16:00:00,2954.29,2959.47,2895.2,2918.31,3522644,352264.4
1647892800000,2022-03-21 20:00:00,2918.37,2923.84,2883.21,2889.74,1260520,126052
1647907200000,2022-03-22 00:00:00,2889.73,3041.59,2885,3007.68,5338225,533822.5
1647921600000,2022-03-22 04:00:00,3007.73,3054.9,2966.99,2993.26,4193841,419384.1
1647936000000,2022-03-22 08:00:00,2993.37,3026.48,2984.73,3019.99,2584364,258436.4
1647950400000,2022-03-22 12:00:00,3020,3028.6,2986.42,3002.15,2531906,253190.6
1647964800000,2022-03-22 16:00:00,3002.15,3017,2980.75,2984.39,1650100,165010
